Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median,meta_r,meta_p,meta_fdr
Rpl37a_T2<==>Rpl35_B1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rps28_T2,0.0322788501029663,0.75,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rpl39_B2,0.0365527610528608,0.7380952380952381,0.0,1.0,0.0,1.0,inf,0.0,0.0
Ptgs2_M0<==>Il1b_M0,0.0065300172547153,0.8571428571428571,0.0,1.0,0.0,1.0,inf,0.0,0.0
Lpgat1_M7<==>Dbnl_M4,0.0660435616484202,-0.6785714285714286,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Eif2s2_B5<==>Rpl17_B5,0.028683944153193,-0.7619047619047619,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Rps27_B1<==>Rps27_T1,0.041540496668514,0.7261904761904763,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps27_T2<==>Rps28_T1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps20_M1<==>Rps23_M1,0.015495333688491,0.8095238095238095,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl11_B2<==>Rpl17_B2,0.0587579433025774,0.6904761904761905,0.0,1.0,0.0,1.0,inf,0.0,0.0
C1qb_M0<==>C1qc_M0,0.0005616841036436,0.9404761904761904,0.0,1.0,0.0,1.0,inf,0.0,0.0
C1qb_M0<==>C1qa_M0,0.0065300172547153,0.8571428571428571,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl6_B2<==>Rps28_T1,0.0863603458876261,0.6428571428571428,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl6_B2<==>Rpl39_B2,0.015495333688491,0.8095238095238095,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl28_B2<==>AY036118_M0,0.0644889862427802,-0.6785714285714286,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Txnrd1_M0<==>Cd14_M0,0.0372665857186195,0.7380952380952381,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl41_M5<==>Rpl39_M5,0.0936459642334688,0.6309523809523809,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rps29_T1<==>Rps28_T1,0.0070129302935945,0.8571428571428572,0.0,1.0,0.0,1.0,inf,0.0,0.0
Ighv8-5_B3<==>Ighv1-25_B3,0.0857977816025927,0.7074746235780194,0.0,1.0,0.0,1.0,inf,0.0,0.0
Col14a1_O7<==>Igfbp6_O7,0.0280049391530718,0.7619047619047619,0.0,1.0,0.0,1.0,inf,0.0,0.0
H2-D1_B3<==>H2-Q7_B3,0.0741306348692159,0.6666666666666667,0.0,1.0,0.0,1.0,inf,0.0,0.0
mt-Co2_B3<==>mt-Atp6_B3,0.0125391039048434,0.8214285714285714,0.0,1.0,0.0,1.0,inf,0.0,0.0
